Timestamp,Elapsed_Seconds,Has_Fix,Latitude,Longitude,Altitude_m,Satellites,HDOP,Fix_Quality
2026-02-11 16:49:34,0.0,NO,,,,0,,
2026-02-11 16:49:34,0.3,NO,,,,0,,
2026-02-11 16:49:35,1.3,NO,,,,0,,
2026-02-11 16:49:36,1.5,NO,,,,0,,
2026-02-11 16:49:37,2.5,NO,,,,0,,
2026-02-11 16:49:38,3.6,NO,,,,0,,
2026-02-11 16:49:39,4.5,NO,,,,0,,
2026-02-11 16:49:40,5.5,NO,,,,0,,
2026-02-11 16:49:41,6.5,NO,,,,0,,
2026-02-11 16:49:41,7.4,NO,,,,0,,
2026-02-11 16:49:43,8.6,NO,,,,0,,
2026-02-11 16:49:43,9.4,NO,,,,0,,
2026-02-11 16:49:44,10.4,NO,,,,0,,
2026-02-11 16:49:45,11.4,NO,,,,0,,
2026-02-11 16:49:46,12.4,NO,,,,0,,
2026-02-11 16:49:48,13.6,NO,,,,0,,
2026-02-11 16:49:48,14.4,NO,,,,0,,
2026-02-11 16:49:49,15.4,NO,,,,0,,
2026-02-11 16:49:50,16.4,NO,,,,0,,
2026-02-11 16:49:51,17.4,NO,,,,0,,
2026-02-11 16:49:53,18.6,NO,,,,0,,
2026-02-11 16:49:53,19.4,NO,,,,0,,
2026-02-11 16:49:54,19.6,NO,,,,0,,
2026-02-11 16:49:55,20.6,NO,,,,0,,
2026-02-11 16:49:56,21.6,NO,,,,0,,
2026-02-11 16:49:57,22.9,NO,,,,0,,
2026-02-11 16:49:58,23.6,NO,,,,0,,
2026-02-11 16:49:59,24.6,NO,,,,0,,
2026-02-11 16:49:59,25.5,YES,39.008923,-104.881705,2170.3,9,1.2,1
2026-02-11 16:50:01,26.8,YES,39.008918,-104.881702,2170.7,9,1.2,1
2026-02-11 16:50:02,27.8,YES,39.008918,-104.881702,2171.1,9,1.2,1
2026-02-11 16:50:02,28.4,YES,39.008918,-104.881705,2170.7,9,1.2,1
2026-02-11 16:50:03,29.5,YES,39.008918,-104.881708,2171.3,9,1.2,1
2026-02-11 16:50:04,30.5,YES,39.008918,-104.881710,2171.7,9,1.2,1
2026-02-11 16:50:05,31.5,YES,39.008917,-104.881707,2171.4,9,1.2,1
2026-02-11 16:50:07,32.8,YES,39.008917,-104.881702,2171.1,9,1.2,1
2026-02-11 16:50:07,33.5,YES,39.008917,-104.881702,2171.1,9,1.2,1
2026-02-11 16:50:08,34.5,YES,39.008927,-104.881678,2171.4,14,0.7,1
2026-02-11 16:50:10,35.5,YES,39.008927,-104.881675,2170.7,14,0.7,1
2026-02-11 16:50:11,36.5,YES,39.008927,-104.881675,2170.9,14,0.7,1
2026-02-11 16:50:12,37.8,YES,39.008927,-104.881677,2170.8,14,0.7,1
2026-02-11 16:50:13,38.5,YES,39.008927,-104.881678,2170.9,14,0.7,1
2026-02-11 16:50:14,39.5,YES,39.008925,-104.881678,2171.2,14,0.7,1
2026-02-11 16:50:15,40.5,YES,39.008923,-104.881680,2171.1,14,0.7,1
2026-02-11 16:50:16,41.5,YES,39.008925,-104.881682,2171.1,14,0.7,1
2026-02-11 16:50:17,42.9,YES,39.008923,-104.881683,2171.0,14,0.7,1
2026-02-11 16:50:18,43.5,YES,39.008923,-104.881688,2171.1,15,0.7,1
2026-02-11 16:50:19,44.5,YES,39.008922,-104.881692,2171.3,15,0.7,1
2026-02-11 16:50:20,45.5,YES,39.008922,-104.881693,2171.5,15,0.7,1
2026-02-11 16:50:21,46.5,YES,39.008920,-104.881697,2172.0,15,0.7,1
2026-02-11 16:50:22,47.9,YES,39.008918,-104.881697,2171.9,15,0.7,1
2026-02-11 16:50:23,48.5,YES,39.008917,-104.881697,2171.9,15,0.7,1
2026-02-11 16:50:24,49.5,YES,39.008917,-104.881698,2171.6,16,0.7,1
2026-02-11 16:50:25,50.5,YES,39.008917,-104.881697,2171.5,16,0.7,1
2026-02-11 16:50:26,51.5,YES,39.008917,-104.881697,2171.5,16,0.7,1
2026-02-11 16:50:27,52.9,YES,39.008917,-104.881698,2171.6,16,0.7,1
2026-02-11 16:50:28,53.5,YES,39.008917,-104.881698,2171.6,16,0.7,1
2026-02-11 16:50:29,54.5,YES,39.008917,-104.881698,2171.6,16,0.7,1
2026-02-11 16:50:30,55.5,YES,39.008915,-104.881700,2171.5,17,0.6,1
2026-02-11 16:50:31,56.5,YES,39.008915,-104.881702,2171.7,17,0.6,1
2026-02-11 16:50:32,57.9,YES,39.008915,-104.881702,2171.6,17,0.6,1
2026-02-11 16:50:33,58.5,YES,39.008915,-104.881702,2171.6,17,0.6,1
2026-02-11 16:50:34,59.5,YES,39.008913,-104.881703,2171.6,17,0.6,1
2026-02-11 16:50:35,60.5,YES,39.008913,-104.881703,2171.5,17,0.6,1
2026-02-11 16:50:36,61.5,YES,39.008913,-104.881703,2171.4,17,0.6,1
2026-02-11 16:50:37,62.9,YES,39.008913,-104.881703,2171.4,17,0.6,1
2026-02-11 16:50:38,63.5,YES,39.008913,-104.881703,2171.3,17,0.6,1
2026-02-11 16:50:39,64.5,YES,39.008913,-104.881703,2171.2,17,0.6,1
2026-02-11 16:50:40,65.5,YES,39.008913,-104.881703,2171.2,17,0.6,1
2026-02-11 16:50:41,66.5,YES,39.008913,-104.881703,2171.3,17,0.6,1
2026-02-11 16:50:42,67.9,YES,39.008913,-104.881705,2171.3,17,0.6,1
2026-02-11 16:50:43,68.5,YES,39.008913,-104.881707,2171.3,17,0.6,1
2026-02-11 16:50:44,69.5,YES,39.008913,-104.881707,2171.3,17,0.6,1
2026-02-11 16:50:45,70.5,YES,39.008913,-104.881707,2171.4,17,0.6,1
2026-02-11 16:50:46,71.5,YES,39.008913,-104.881708,2171.4,17,0.6,1
